transaction_id,user_id,stock_symbol,transaction_type,quantity,price_per_share,transaction_date
65,1008,AXISBANK,Buy,4,1577.58,2024-12-12
66,1034,INFY,Sell,26,3424.46,2023-01-11
67,1020,ICICIBANK,Buy,7,2462.9,2023-03-14
68,1031,AXISBANK,Sell,22,935.14,2024-07-13
69,1008,AXISBANK,Sell,3,1556.66,2024-10-14
70,1048,RELIANCE,Buy,41,2475.71,2023-11-06
71,1041,INFY,Buy,6,1193.14,2024-07-05
72,1015,TCS,Sell,1,843.27,2024-10-02
73,1036,HCLTECH,Sell,29,3720.53,2024-09-01
74,1038,HDFCBANK,Sell,6,1789.16,2024-06-02
75,1017,RELIANCE,Sell,13,1754.82,2024-04-30
76,1005,TCS,Sell,49,2869.22,2023-01-01
77,1008,AXISBANK,Sell,17,1225.31,2024-04-20
78,1003,HDFCBANK,Buy,7,1192.9,2024-01-19
79,1025,SBIN,Buy,7,3960.41,2024-10-05
80,1032,RELIANCE,Sell,41,2879.75,2024-11-04
81,1034,AXISBANK,Sell,32,3993.64,2023-09-16
82,1041,HDFCBANK,Buy,1,1690.77,2023-07-09
83,1048,SBIN,Sell,3,2337.88,2024-07-21
84,1017,RELIANCE,Sell,38,1530.34,2023-09-10
85,1046,AXISBANK,Buy,6,2307.85,2024-06-30
86,1003,INFY,Buy,9,642.21,2024-11-07
87,1001,AXISBANK,Sell,11,3302.26,2023-02-18
88,1042,AXISBANK,Sell,33,1837.81,2023-05-29
89,1034,HCLTECH,Buy,37,817.26,2024-12-13
90,1034,INFY,Sell,49,1221.37,2024-03-16
91,1035,ICICIBANK,Sell,25,2626.0,2023-06-22
92,1015,TCS,Buy,48,1136.89,2023-07-05
93,1033,WIPRO,Sell,5,2227.29,2024-09-15
94,1017,WIPRO,Sell,25,3335.13,2023-04-21
95,1004,RELIANCE,Buy,16,1504.81,2024-09-15
96,1022,TCS,Buy,31,1962.53,2024-02-26
97,1032,INFY,Buy,23,1938.99,2023-12-14
98,1040,AXISBANK,Sell,30,664.62,2023-03-12
99,1031,RELIANCE,Buy,3,2594.05,2023-03-04
100,1009,SBIN,Buy,45,2422.0,2023-09-06
101,1023,HDFCBANK,Sell,50,3221.11,2024-11-10
102,1008,TCS,Sell,40,2713.09,2024-01-30
103,1022,INFY,Sell,9,3854.64,2024-12-25
104,1025,WIPRO,Buy,34,3511.51,2024-01-16
105,1013,TCS,Sell,29,1800.54,2023-03-26
106,1013,AXISBANK,Sell,41,763.69,2023-08-23
107,1003,TCS,Sell,17,3653.75,2024-03-04
108,1034,HDFCBANK,Buy,6,3217.2,2023-08-15
109,1041,HCLTECH,Sell,33,1568.59,2024-07-02
110,1008,RELIANCE,Sell,37,1977.2,2023-04-07
111,1006,INFY,Sell,5,847.24,2024-03-01
112,1050,RELIANCE,Buy,29,2008.8,2023-09-16
113,1027,TCS,Sell,21,3028.9,2024-09-24
114,1006,SBIN,Buy,8,1757.39,2024-12-17
115,1002,SBIN,Sell,12,534.87,2024-02-24
116,1015,SBIN,Buy,39,3627.02,2023-06-07
117,1014,TCS,Buy,43,2858.16,2024-09-12
118,1008,TCS,Sell,24,2913.13,2024-04-13
119,1039,HDFCBANK,Buy,12,2089.17,2024-03-01
120,1031,SBIN,Sell,9,597.78,2024-04-01
121,1014,SBIN,Sell,31,3863.17,2023-08-12
122,1019,HCLTECH,Sell,12,2575.57,2023-12-12
123,1006,INFY,Sell,11,1818.06,2023-03-13
124,1010,RELIANCE,Buy,21,2279.16,2024-04-08
125,1016,RELIANCE,Sell,24,1969.25,2024-09-11
126,1003,RELIANCE,Buy,26,772.72,2023-10-26
127,1005,RELIANCE,Sell,20,2427.72,2023-09-04
128,1048,RELIANCE,Sell,20,2729.38,2024-03-23
129,1006,HDFCBANK,Sell,41,1792.4,2023-07-08
130,1034,TCS,Sell,27,529.5,2023-08-14
131,1047,SBIN,Sell,14,1800.59,2023-05-23
132,1031,INFY,Buy,7,1469.4,2023-05-28
133,1036,RELIANCE,Sell,26,1148.83,2024-09-30
134,1027,ICICIBANK,Buy,16,3858.36,2023-05-26
135,1022,HCLTECH,Buy,23,2118.52,2023-01-26
136,1041,INFY,Sell,49,1212.74,2024-04-20
137,1001,AXISBANK,Sell,1,1265.57,2024-05-25
138,1008,WIPRO,Buy,28,2972.03,2023-07-21
139,1031,INFY,Sell,49,3863.21,2024-01-06
140,1035,ICICIBANK,Sell,41,3944.05,2023-02-23
141,1008,WIPRO,Buy,1,1398.02,2023-03-11
142,1034,ICICIBANK,Sell,7,3112.93,2024-06-11
143,1023,WIPRO,Buy,39,798.41,2024-08-11
144,1005,WIPRO,Sell,35,1689.62,2023-04-12
145,1034,HDFCBANK,Buy,5,1951.91,2024-11-12
146,1019,WIPRO,Buy,37,2330.71,2023-04-27
147,1014,HCLTECH,Buy,27,3844.79,2024-12-18
148,1035,ICICIBANK,Sell,19,2048.28,2023-01-31
149,1037,RELIANCE,Buy,8,2939.61,2024-10-16
150,1025,ICICIBANK,Sell,9,2458.65,2023-03-04
151,1020,SBIN,Sell,48,1952.88,2024-11-28
152,1031,AXISBANK,Sell,32,2782.19,2024-06-27
153,1004,AXISBANK,Sell,10,3108.23,2024-12-17
154,1004,HDFCBANK,Buy,23,2150.35,2024-10-06
155,1001,HCLTECH,Buy,44,3534.88,2024-02-24
156,1044,ICICIBANK,Buy,24,644.12,2024-06-14
157,1040,TCS,Sell,41,2948.9,2023-10-31
158,1047,HDFCBANK,Buy,49,2504.98,2024-10-12
159,1013,INFY,Sell,30,3007.21,2024-07-01
160,1025,RELIANCE,Sell,27,2768.02,2024-02-12
161,1044,ICICIBANK,Buy,29,3766.31,2023-08-03
162,1010,HCLTECH,Sell,9,1231.03,2024-02-10
163,1012,AXISBANK,Sell,25,1995.52,2024-09-22
164,1032,ICICIBANK,Buy,13,2037.45,2023-07-02
165,1014,TCS,Sell,3,1319.1,2024-10-21
166,1006,RELIANCE,Sell,4,3101.07,2023-06-17
167,1044,RELIANCE,Buy,40,1541.35,2024-11-26
168,1006,HCLTECH,Sell,50,3571.1,2024-06-11
169,1023,ICICIBANK,Sell,4,2711.58,2024-04-03
170,1034,HCLTECH,Sell,38,2091.11,2024-10-03
171,1017,AXISBANK,Buy,22,1430.55,2023-11-22
172,1003,TCS,Buy,23,513.56,2024-03-26
173,1042,TCS,Buy,5,3253.38,2023-08-02
174,1044,HDFCBANK,Sell,36,3724.87,2023-12-16
175,1030,HDFCBANK,Sell,39,858.19,2024-01-18
176,1006,SBIN,Sell,35,2095.11,2024-05-27
177,1021,WIPRO,Buy,34,655.23,2024-05-13
178,1024,INFY,Buy,34,1710.12,2024-06-27
179,1013,WIPRO,Sell,20,2309.15,2024-12-13
180,1025,WIPRO,Sell,23,3551.91,2024-09-08
181,1016,TCS,Sell,36,753.18,2023-10-05
182,1030,AXISBANK,Sell,4,3710.02,2023-03-05
183,1027,AXISBANK,Sell,29,913.43,2023-09-09
184,1006,HDFCBANK,Buy,49,1038.28,2024-04-20
185,1014,AXISBANK,Buy,28,2456.54,2023-03-31
186,1026,TCS,Buy,16,2215.05,2024-01-13
187,1009,WIPRO,Sell,21,3981.34,2024-03-31
188,1007,HCLTECH,Sell,40,2393.76,2024-05-04
189,1013,WIPRO,Sell,33,2616.34,2023-09-18
190,1035,WIPRO,Sell,15,557.95,2024-10-18
191,1040,INFY,Buy,47,1951.31,2023-05-28
192,1014,WIPRO,Buy,48,2374.33,2023-07-08
193,1028,TCS,Buy,25,2758.19,2023-01-13
194,1008,SBIN,Buy,44,3007.92,2024-07-22
195,1035,WIPRO,Buy,48,3411.3,2023-07-30
196,1016,INFY,Sell,44,1645.58,2023-04-01
197,1024,AXISBANK,Sell,38,1099.84,2024-07-01
198,1001,HCLTECH,Sell,24,2549.01,2023-06-21
199,1002,RELIANCE,Sell,10,3915.15,2023-10-16
200,1033,INFY,Buy,49,1222.76,2024-09-09
201,1050,AXISBANK,Buy,16,3063.96,2023-05-13
202,1015,ICICIBANK,Sell,39,2568.6,2023-09-16
203,1041,AXISBANK,Buy,40,3418.77,2023-11-27
204,1034,SBIN,Sell,30,1580.45,2024-09-25
205,1015,HCLTECH,Buy,43,3576.77,2023-02-18
206,1048,AXISBANK,Sell,46,3467.23,2023-03-20
207,1017,RELIANCE,Sell,46,1168.73,2024-08-31
208,1021,WIPRO,Sell,4,1230.32,2023-04-24
209,1021,HDFCBANK,Sell,29,2839.51,2024-10-26
210,1043,HDFCBANK,Sell,23,2850.55,2024-06-25
211,1020,TCS,Sell,37,2388.3,2023-06-19
212,1047,RELIANCE,Sell,2,2218.87,2023-02-05
213,1004,TCS,Buy,3,543.54,2024-09-26
214,1042,SBIN,Buy,4,1707.25,2024-03-21
215,1043,ICICIBANK,Buy,14,2071.38,2024-05-07
216,1010,SBIN,Sell,12,2771.76,2024-12-07
217,1047,ICICIBANK,Sell,1,1932.5,2024-12-28
218,1017,HCLTECH,Sell,49,646.79,2024-02-19
219,1008,ICICIBANK,Sell,11,510.89,2024-04-12
220,1009,HCLTECH,Buy,6,1655.18,2024-06-12
221,1012,HDFCBANK,Buy,11,3099.84,2023-02-27
222,1044,HCLTECH,Buy,46,774.71,2023-01-21
223,1039,INFY,Sell,46,1025.25,2023-04-07
224,1039,TCS,Sell,22,3320.63,2024-05-08
225,1047,ICICIBANK,Buy,41,3763.48,2023-05-27
226,1003,AXISBANK,Buy,23,1524.57,2024-04-15
227,1010,AXISBANK,Buy,33,1745.33,2024-10-06
228,1048,ICICIBANK,Sell,18,3311.63,2024-03-23
229,1026,TCS,Sell,34,3651.9,2023-04-03
230,1036,AXISBANK,Buy,50,2361.28,2023-10-31
231,1036,WIPRO,Buy,30,1882.73,2023-03-13
232,1008,ICICIBANK,Sell,32,679.03,2023-10-15
233,1018,TCS,Sell,44,2881.38,2024-10-09
234,1045,WIPRO,Buy,49,2352.45,2023-04-01
235,1022,ICICIBANK,Sell,14,905.98,2023-01-29
236,1022,HDFCBANK,Sell,11,3707.27,2024-04-15
237,1010,SBIN,Buy,38,3357.26,2023-01-17
238,1037,RELIANCE,Sell,24,1519.17,2023-06-01
239,1019,SBIN,Sell,26,2602.46,2023-05-24
240,1011,TCS,Buy,37,652.6,2024-07-11
241,1009,SBIN,Buy,47,2181.44,2023-04-07
242,1043,WIPRO,Buy,5,2421.07,2024-01-08
243,1028,WIPRO,Buy,34,1094.51,2023-06-13
244,1043,RELIANCE,Buy,33,2712.45,2024-07-18
245,1035,ICICIBANK,Sell,18,1589.89,2024-09-13
246,1001,ICICIBANK,Sell,17,2382.55,2023-02-17
247,1036,SBIN,Sell,13,2969.5,2024-12-28
248,1028,RELIANCE,Buy,49,2289.69,2024-06-11
249,1043,ICICIBANK,Sell,30,3823.32,2023-01-18
250,1036,ICICIBANK,Buy,2,1767.78,2024-02-27
251,1011,HDFCBANK,Sell,41,2950.31,2023-11-27
252,1002,HDFCBANK,Buy,18,1148.0,2024-04-27
253,1049,ICICIBANK,Buy,37,2068.63,2023-03-20
254,1048,AXISBANK,Buy,13,1075.7,2024-10-11
255,1005,ICICIBANK,Sell,18,1384.4,2023-07-21
256,1049,SBIN,Sell,6,1574.57,2023-02-24
257,1032,TCS,Sell,13,3168.23,2023-06-21
258,1025,ICICIBANK,Sell,45,3580.51,2023-02-25
259,1003,AXISBANK,Sell,37,943.85,2024-05-17
260,1046,WIPRO,Sell,2,1893.32,2023-08-22
261,1034,RELIANCE,Buy,6,2480.72,2023-09-30
262,1023,SBIN,Buy,5,1167.71,2023-12-05
263,1008,HCLTECH,Sell,3,1600.86,2023-05-21
264,1002,SBIN,Sell,9,3945.09,2023-02-17
265,1049,WIPRO,Sell,43,997.46,2024-01-27
266,1010,ICICIBANK,Sell,33,709.47,2023-12-29
267,1009,RELIANCE,Sell,46,2746.63,2023-01-31
268,1049,TCS,Buy,36,2919.16,2024-04-08
269,1045,ICICIBANK,Buy,23,3300.51,2023-03-20
270,1006,INFY,Buy,17,1205.62,2024-06-27
271,1017,SBIN,Sell,17,2311.03,2023-10-31
272,1030,RELIANCE,Sell,36,1034.87,2023-06-04
273,1041,RELIANCE,Buy,49,1606.28,2023-07-22
274,1005,HDFCBANK,Sell,40,1335.52,2023-10-06
275,1030,HCLTECH,Buy,46,1667.83,2024-12-03
276,1042,RELIANCE,Sell,50,2445.72,2024-07-22
277,1035,INFY,Sell,1,3345.37,2024-01-01
278,1006,INFY,Sell,39,1733.12,2024-10-13
279,1029,SBIN,Sell,33,1767.19,2024-12-01
280,1041,INFY,Buy,21,3739.31,2024-12-14
281,1012,RELIANCE,Buy,22,3600.78,2024-03-18
282,1013,TCS,Sell,42,717.14,2023-05-12
283,1020,ICICIBANK,Buy,39,3186.43,2024-06-25
284,1046,RELIANCE,Sell,5,1928.79,2024-06-06
285,1029,SBIN,Sell,44,1584.1,2023-06-07
286,1030,ICICIBANK,Buy,2,2088.05,2024-08-19
287,1017,HDFCBANK,Sell,5,1751.63,2023-02-15
288,1008,TCS,Sell,2,1119.8,2024-09-04
289,1040,TCS,Sell,30,3267.65,2024-06-09
290,1048,AXISBANK,Sell,6,3502.92,2023-05-03
291,1035,ICICIBANK,Sell,2,2767.99,2024-10-18
292,1007,INFY,Sell,23,3843.02,2023-05-06
293,1031,TCS,Buy,34,2689.36,2023-09-23
294,1019,TCS,Buy,25,1681.92,2024-02-16
295,1036,RELIANCE,Buy,12,3227.64,2023-07-14
296,1011,HDFCBANK,Sell,2,2190.21,2023-04-02
297,1041,ICICIBANK,Buy,15,1341.02,2024-04-08
298,1019,SBIN,Buy,16,1732.29,2024-12-16
299,1011,ICICIBANK,Sell,24,3567.79,2023-12-10
300,1009,ICICIBANK,Buy,11,3756.05,2024-05-31
301,1001,ICICIBANK,Buy,10,568.28,2023-05-16
302,1021,HCLTECH,Buy,3,665.22,2023-01-11
303,1008,RELIANCE,Buy,44,3253.97,2024-01-02
304,1002,ICICIBANK,Sell,37,3697.93,2024-06-13
305,1022,HDFCBANK,Buy,24,2285.88,2023-11-15
306,1035,ICICIBANK,Buy,9,1927.15,2024-11-30
307,1043,SBIN,Buy,28,3634.97,2024-03-18
308,1016,AXISBANK,Sell,15,3707.18,2024-11-10
309,1016,AXISBANK,Sell,38,741.56,2024-01-31
310,1017,WIPRO,Sell,35,576.04,2024-12-13
311,1040,AXISBANK,Buy,18,641.06,2023-08-30
312,1021,ICICIBANK,Buy,35,3571.74,2024-05-19
313,1004,RELIANCE,Sell,2,3187.1,2023-10-05
314,1047,ICICIBANK,Sell,7,2996.18,2023-10-29
315,1039,AXISBANK,Buy,11,1691.74,2024-10-12
316,1027,RELIANCE,Sell,49,2262.47,2024-05-25
317,1024,SBIN,Buy,41,1751.67,2023-07-14
318,1031,HCLTECH,Buy,13,3569.99,2023-04-30
319,1017,RELIANCE,Sell,19,1830.4,2024-03-11
320,1003,WIPRO,Sell,3,2887.78,2024-06-20
321,1018,ICICIBANK,Buy,23,969.57,2023-01-10
322,1008,SBIN,Buy,2,2007.02,2023-12-22
323,1026,AXISBANK,Buy,42,2987.69,2024-07-29
324,1044,INFY,Sell,35,3041.73,2023-03-03
325,1009,RELIANCE,Buy,14,1075.65,2023-09-18
326,1002,HCLTECH,Buy,32,1749.41,2024-07-28
327,1040,WIPRO,Sell,44,914.67,2023-02-05
328,1027,WIPRO,Buy,22,2697.92,2024-02-27
329,1022,HCLTECH,Buy,25,3945.9,2023-08-07
330,1048,HCLTECH,Sell,16,3581.73,2023-04-15
331,1025,SBIN,Sell,31,2290.41,2023-07-06
332,1027,ICICIBANK,Buy,44,3906.27,2024-08-14
333,1010,TCS,Buy,45,3227.49,2024-01-10
334,1045,HDFCBANK,Buy,18,2909.9,2023-10-01
335,1040,RELIANCE,Sell,6,3276.72,2024-04-18
336,1001,INFY,Sell,47,2182.47,2023-08-12
337,1007,AXISBANK,Sell,38,2938.38,2024-06-07
338,1043,AXISBANK,Buy,11,2465.76,2023-10-06
339,1005,HCLTECH,Buy,2,3396.21,2024-04-03
340,1011,HCLTECH,Sell,39,2812.27,2024-11-23
341,1029,ICICIBANK,Sell,2,2556.03,2024-05-07
342,1025,RELIANCE,Sell,37,687.79,2024-10-25
343,1025,INFY,Sell,22,1315.83,2024-04-27
344,1030,TCS,Sell,40,856.32,2023-04-13
345,1033,AXISBANK,Sell,31,1428.57,2024-07-09
346,1015,HCLTECH,Sell,11,1558.59,2023-08-30
347,1039,RELIANCE,Sell,5,3868.46,2023-10-29
348,1031,ICICIBANK,Sell,36,822.84,2024-08-04
349,1031,HDFCBANK,Buy,19,993.75,2023-11-18
350,1007,RELIANCE,Buy,43,978.83,2024-10-05
351,1036,HDFCBANK,Buy,3,3517.13,2024-05-20
352,1036,AXISBANK,Buy,31,2458.41,2023-03-04
353,1050,SBIN,Buy,44,518.01,2023-01-02
354,1015,AXISBANK,Sell,18,1286.16,2024-04-06
355,1032,SBIN,Sell,6,771.26,2023-05-30
356,1037,ICICIBANK,Buy,48,1786.25,2024-06-26
357,1025,RELIANCE,Buy,19,3775.62,2023-09-17
358,1048,AXISBANK,Sell,19,1845.19,2023-05-05
359,1009,INFY,Sell,23,2250.89,2023-07-05
360,1031,HDFCBANK,Sell,41,3705.51,2023-06-23
361,1028,WIPRO,Sell,26,3185.63,2024-05-10
362,1046,WIPRO,Buy,31,3662.6,2023-12-15
363,1008,AXISBANK,Buy,23,3765.09,2023-10-22
364,1048,RELIANCE,Sell,32,1300.44,2024-07-05
365,1044,ICICIBANK,Sell,30,2297.37,2024-11-10
366,1037,HDFCBANK,Sell,33,1589.22,2024-06-07
367,1015,SBIN,Buy,6,2151.18,2024-03-17
368,1026,HDFCBANK,Sell,4,2513.84,2024-11-10
369,1003,ICICIBANK,Buy,17,1201.06,2023-11-18
370,1021,RELIANCE,Buy,12,3290.24,2023-01-25
371,1024,TCS,Buy,3,528.32,2023-11-09
372,1035,TCS,Buy,8,3375.27,2024-11-08
373,1039,HDFCBANK,Buy,48,2131.32,2024-06-29
374,1001,HCLTECH,Sell,5,2379.26,2024-03-16
375,1015,HDFCBANK,Sell,25,2161.4,2023-11-21
376,1001,ICICIBANK,Buy,25,3916.23,2024-08-22
377,1003,WIPRO,Buy,38,1714.74,2024-05-29
378,1024,SBIN,Sell,42,970.32,2024-07-04
379,1034,INFY,Sell,7,3001.95,2023-02-06
380,1018,TCS,Buy,40,3202.39,2023-05-09
381,1009,ICICIBANK,Buy,37,3915.55,2023-12-12
382,1021,HDFCBANK,Sell,33,2251.3,2023-02-19
383,1036,INFY,Sell,8,2281.49,2023-07-21
384,1029,AXISBANK,Buy,30,2417.21,2024-06-28
385,1009,ICICIBANK,Sell,25,774.92,2023-05-03
386,1033,SBIN,Buy,30,1369.65,2023-12-13
387,1031,ICICIBANK,Buy,29,3031.95,2024-02-14
388,1001,HCLTECH,Sell,49,3213.41,2024-11-18
389,1015,ICICIBANK,Buy,17,2170.31,2024-01-14
390,1010,HDFCBANK,Sell,19,1759.92,2024-12-06
391,1032,RELIANCE,Buy,13,1549.66,2024-03-12
392,1034,INFY,Buy,10,1699.84,2024-04-14
393,1022,RELIANCE,Sell,25,2872.23,2024-08-09
394,1027,AXISBANK,Buy,11,1868.13,2023-01-01
395,1050,SBIN,Buy,47,1648.18,2024-11-17
396,1034,HCLTECH,Sell,10,2717.4,2023-01-31
397,1040,AXISBANK,Buy,39,2044.83,2024-01-20
398,1016,AXISBANK,Sell,36,3058.85,2023-09-11
399,1001,TCS,Buy,9,1349.97,2023-08-31
400,1044,HDFCBANK,Buy,49,2305.03,2024-10-12
401,1042,WIPRO,Sell,32,2899.06,2023-12-29
402,1011,SBIN,Sell,46,2033.51,2023-02-08
403,1029,SBIN,Sell,5,1013.05,2024-09-20
404,1049,INFY,Buy,26,3827.49,2024-10-01
405,1046,HCLTECH,Buy,24,2964.76,2024-11-10
406,1002,ICICIBANK,Buy,6,3488.63,2024-09-23
407,1038,ICICIBANK,Buy,41,514.49,2023-11-19
408,1043,RELIANCE,Sell,20,1830.52,2023-05-27
409,1035,INFY,Buy,39,3895.12,2024-03-02
410,1032,TCS,Buy,27,2659.55,2024-05-06
411,1024,WIPRO,Buy,48,581.32,2023-03-06
412,1016,TCS,Sell,10,2130.13,2024-10-12
413,1008,AXISBANK,Sell,15,1839.51,2024-07-17
414,1048,HCLTECH,Sell,15,3384.5,2023-04-12
415,1017,INFY,Buy,10,1604.38,2023-01-12
416,1038,AXISBANK,Buy,34,2178.04,2023-11-09
417,1021,ICICIBANK,Buy,8,2019.87,2024-06-11
418,1043,RELIANCE,Buy,2,916.17,2023-11-21
419,1028,HDFCBANK,Buy,41,1451.98,2023-09-03
420,1025,INFY,Sell,19,1808.09,2023-01-03
421,1041,HDFCBANK,Buy,22,2303.87,2023-06-15
422,1001,RELIANCE,Sell,2,2730.05,2023-01-12
423,1017,SBIN,Buy,23,3985.19,2024-07-11
424,1007,HCLTECH,Sell,49,736.83,2024-08-09
425,1037,INFY,Buy,38,948.92,2023-01-02
426,1003,HCLTECH,Buy,23,838.86,2024-10-01
427,1046,HDFCBANK,Buy,45,2821.77,2024-06-08
428,1015,ICICIBANK,Buy,39,2944.34,2024-02-15
429,1029,SBIN,Buy,18,3022.66,2024-04-20
430,1023,HCLTECH,Buy,14,2130.05,2023-03-17
431,1021,RELIANCE,Sell,36,2825.59,2023-05-28
432,1050,TCS,Buy,43,3367.66,2023-04-03
433,1020,SBIN,Buy,6,2641.0,2024-04-17
434,1019,INFY,Buy,46,1463.57,2024-05-19
435,1013,HCLTECH,Sell,29,811.18,2023-06-04
436,1033,HCLTECH,Sell,8,781.3,2024-11-09
437,1030,SBIN,Buy,19,1343.64,2023-08-23
438,1028,WIPRO,Buy,2,3424.24,2023-08-06
439,1041,WIPRO,Buy,43,1595.9,2024-06-18
440,1036,WIPRO,Buy,46,1370.84,2023-05-22
441,1045,HCLTECH,Buy,17,2590.02,2023-03-19
442,1025,ICICIBANK,Sell,38,1289.04,2024-01-05
443,1021,HCLTECH,Sell,29,2978.93,2024-10-25
444,1028,SBIN,Buy,34,679.49,2024-12-17
445,1046,AXISBANK,Sell,2,1334.71,2023-11-05
446,1020,INFY,Buy,9,3861.04,2024-05-02
447,1001,SBIN,Sell,8,2345.67,2023-03-05
448,1032,WIPRO,Sell,26,2010.27,2023-01-17
449,1045,TCS,Buy,46,3604.21,2023-08-02
450,1034,SBIN,Buy,16,1029.03,2024-12-10
451,1020,RELIANCE,Buy,36,3940.24,2023-12-18
452,1035,TCS,Buy,15,3524.66,2024-09-13
453,1047,ICICIBANK,Buy,16,3153.91,2024-09-07
454,1009,RELIANCE,Buy,34,3956.69,2023-03-31
455,1020,TCS,Sell,13,718.28,2024-10-31
456,1011,ICICIBANK,Sell,14,1846.83,2023-07-19
457,1034,AXISBANK,Buy,9,3495.32,2023-04-14
458,1035,TCS,Buy,1,3865.48,2024-05-22
459,1016,ICICIBANK,Sell,44,1465.26,2024-02-09
460,1027,SBIN,Sell,17,3041.69,2024-09-26
461,1049,RELIANCE,Buy,48,1234.64,2024-05-20
462,1003,TCS,Buy,45,2061.89,2024-05-15
463,1029,RELIANCE,Sell,1,2594.28,2023-09-27
464,1023,SBIN,Sell,20,2256.13,2023-03-31
465,1045,WIPRO,Buy,2,2178.07,2024-11-08
466,1047,HDFCBANK,Sell,22,2157.34,2023-04-30
467,1029,RELIANCE,Sell,19,3781.47,2023-08-05
468,1045,SBIN,Sell,41,2610.82,2024-10-23
469,1026,ICICIBANK,Sell,44,3352.08,2023-01-15
470,1037,HDFCBANK,Buy,28,1257.35,2023-02-02
471,1033,RELIANCE,Buy,39,2310.84,2023-02-01
472,1035,HCLTECH,Sell,22,1406.41,2023-06-09
473,1020,AXISBANK,Buy,47,1180.13,2024-06-12
474,1017,AXISBANK,Buy,2,1204.4,2023-07-21
475,1007,WIPRO,Buy,14,3788.42,2024-03-09
476,1012,RELIANCE,Sell,40,3341.22,2023-09-02
477,1001,TCS,Buy,39,3707.66,2023-10-12
478,1011,WIPRO,Buy,26,3381.23,2024-12-29
